time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/entropy_loss,train/n_updates,train/loss,train/clip_range,train/value_loss,train/approx_kl,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,train/explained_variance,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
615,33,83,20750,-0.562584445476532,1220,37.899871826171875,0.3,63.54890609741211,0.0062206094,323.34375,0.0003,-0.005483747304079571,323.34375,-2.6464462280273438e-05,0.003999999910593033,,
616,34,84,21000,-0.5483183836936951,1230,33.96678924560547,0.3,58.56261917114258,0.018517207,323.34375,0.0003,-0.010761173454870009,323.34375,-8.14199447631836e-05,0.03839999988675118,,
617,34,85,21250,-0.5695060157775879,1240,35.83217239379883,0.3,62.168390121459964,0.001328555,325.8,0.0003,-0.0003133517180572198,325.8,-2.8967857360839844e-05,0.0,,
618,34,86,21500,-0.5158812582492829,1250,330.274658203125,0.3,365.2980539703369,0.0045234608,325.8,0.0003,-0.005514414868550368,325.8,4.410743713378906e-06,0.15159999914467334,,
619,35,87,21750,-0.5536691999435425,1260,36.716949462890625,0.3,62.68634391784668,0.0007523876,328.43939393939394,0.0003,0.0016538059865240484,328.43939393939394,-0.00027751922607421875,0.0,,
,,,22000,-0.5565857946872711,1270,34.70037078857422,0.3,58.16526802062988,0.0012343895,,0.0003,-0.0006523257787367242,,0.00015306472778320312,0.0,500.0,500.0
611,35,88,22000,,,,,,,328.43939393939394,,,328.43939393939394,,,,
614,36,89,22250,-0.5550281119346618,1280,36.13364028930664,0.3,61.75346229553222,0.0011875555,331.0,0.0003,-0.001528869474404928,331.0,-0.00044858455657958984,0.0,,
616,36,90,22500,-0.5427541077136994,1290,33.22536087036133,0.3,57.92641433715821,0.0010651291,331.0,0.0003,-0.001003514185897103,331.0,-0.00019168853759765625,0.0,,
617,36,91,22750,-0.5497648298740387,1300,36.01187515258789,0.3,61.50090766906738,5.9357524e-05,331.6029411764706,0.0003,-5.5130126748963446e-05,331.6029411764706,-4.470348358154297e-05,0.0,,
618,37,92,23000,-0.5692579901218414,1310,347.10809326171875,0.3,395.80292274475096,0.015492007,330.768115942029,0.0003,-0.004078076514089482,330.768115942029,-1.0967254638671875e-05,0.041999999433755875,,
619,37,93,23250,-0.5507533359527588,1320,266.1747741699219,0.3,398.64129821777345,0.00969605,327.40845070422534,0.0003,-0.00436377018555941,327.40845070422534,8.761882781982422e-06,0.2623999987542629,,
620,37,94,23500,-0.6009922659397126,1330,918.636474609375,0.3,743.9987588500976,0.029625019,327.40845070422534,0.0003,-0.00039134314758703325,327.40845070422534,-4.291534423828125e-06,0.05439999908208847,,
621,38,95,23750,-0.5903779113292694,1340,39.03229522705078,0.3,64.54728424072266,6.1100596e-05,328.06944444444446,0.0003,3.430930823228095e-05,328.06944444444446,0.00012302398681640625,0.0,,
,,,24000,-0.5899873304367066,1350,36.3743782043457,0.3,404.2053720855713,0.006102602,,0.0003,-0.0017614945439709117,,4.4286251068115234e-05,0.0235999995470047,326.0,326.0
617,38,96,24000,,,,,,,326.90410958904107,,,326.90410958904107,,,,
619,39,97,24250,-0.6037366783618927,1360,64.90843963623047,0.3,349.69470672607423,0.0016624883,326.64864864864865,0.0003,-0.004436768912035038,326.64864864864865,0.016921579837799072,0.0,,
621,39,98,24500,-0.602893887758255,1370,58.90761184692383,0.3,220.682557220459,0.0003604983,326.64864864864865,0.0003,-0.00199462417528121,326.64864864864865,0.3770825266838074,0.0,,
622,39,99,24750,-0.5926504862308503,1380,34.27345275878906,0.3,75.99052467346192,0.00019759321,327.9866666666667,0.0003,-0.0005529133531003084,327.9866666666667,-1.1707096099853516,0.0,,
623,40,100,25000,-0.6080515229701996,1390,112.82037353515625,0.3,244.87279159545898,0.00016353965,327.9866666666667,0.0003,-0.0024613569494977127,327.9866666666667,0.2893320918083191,0.0,,
622,40,101,25250,-0.6182383334636689,1400,28.24957275390625,0.3,74.45665428161621,0.0029477174,326.987012987013,0.0003,-0.004391525202163038,326.987012987013,-1.0303151607513428,0.0,,
623,40,102,25500,-0.5848651826381683,1410,379.4404296875,0.3,732.078570098877,0.00051528926,326.5128205128205,0.0003,1.6883350349949922e-05,326.5128205128205,0.026479482650756836,0.0,,
624,41,103,25750,-0.6010250532627106,1420,145.4764862060547,0.3,276.54598709106443,2.1471738e-05,324.67088607594934,0.0003,-0.00014165259068249725,324.67088607594934,0.3061482906341553,0.0,,
,,,26000,-0.5547696268558502,1430,67.821533203125,0.3,418.84419044494626,0.004285396,,0.0003,-0.003156782937835665,,-0.010002493858337402,0.0,328.6,328.6
620,41,104,26000,,,,,,,320.81481481481484,,,320.81481481481484,,,,
622,42,105,26250,-0.5903263783454895,1440,433.7148742675781,0.3,634.5856631469727,2.3223398e-05,318.780487804878,0.0003,0.0004636514133333591,318.780487804878,0.1871885061264038,0.0,,
621,42,106,26500,-0.5621328103542328,1450,112.38936614990234,0.3,127.529423828125,1.4453768e-05,318.3734939759036,0.0003,-0.00012130909065454886,318.3734939759036,0.7557194232940674,0.0,,
622,42,107,26750,-0.5747381317615509,1460,39.749847412109375,0.3,109.38123008728027,0.00011391557,318.3734939759036,0.0003,-0.0006234728837407566,318.3734939759036,0.8613093495368958,0.0,,
621,43,108,27000,-0.5834847843647003,1470,24.526487350463867,0.3,50.42272003173828,0.0048864004,320.4642857142857,0.0003,-0.008129431751882521,320.4642857142857,0.45044058561325073,0.0,,
622,43,109,27250,-0.6029700446128845,1480,88.08338928222656,0.3,244.8864190673828,0.0013235731,319.38823529411764,0.0003,-0.0044367204196750975,319.38823529411764,0.6129685044288635,0.0,,
621,44,110,27500,-0.5826513302326203,1490,83.70965576171875,0.3,139.30276229858399,0.00013711846,318.59302325581393,0.0003,-0.0005658827338633188,318.59302325581393,0.6770234107971191,0.0,,
621,44,111,27750,-0.5933313405513764,1500,30.89780044555664,0.3,83.6565151977539,2.5315641e-05,317.85057471264366,0.0003,1.2622018908223786e-05,317.85057471264366,0.8877231627702713,0.0,,
,,,28000,-0.6046721422672272,1510,32.319984436035156,0.3,85.99643493652344,3.537297e-05,,0.0003,-0.00034569457850667005,,0.9188291803002357,0.0,210.2,210.2
619,45,112,28000,,,,,,,317.0,,,317.0,,,,
621,45,113,28250,-0.5669969165325165,1520,40.02339553833008,0.3,89.27014068603516,0.00054180477,316.29213483146066,0.0003,-0.0020937385371347793,316.29213483146066,0.8952781558036804,0.0,,
622,45,114,28500,-0.5788685095310211,1530,73.06194305419922,0.3,113.19254455566406,0.00013277614,315.24444444444447,0.0003,-0.00040445848007366616,315.24444444444447,0.9307867586612701,0.0,,
623,46,115,28750,-0.5915746092796326,1540,28.41090965270996,0.3,52.93431297302246,1.4191389e-05,314.2087912087912,0.0003,3.4623668894795402e-06,314.2087912087912,0.9530997276306152,0.0,,
623,46,116,29000,-0.5681748151779175,1550,27.521881103515625,0.3,62.667529602050784,5.9558155e-05,313.2391304347826,0.0003,-0.00020100017765031452,313.2391304347826,0.9487156011164188,0.0,,
624,46,117,29250,-0.5978231620788574,1560,28.391817092895508,0.3,61.17917068481445,3.198206e-05,311.1170212765957,0.0003,-1.3587724998251894e-05,311.1170212765957,0.9540086127817631,0.0,,
625,47,118,29500,-0.5926241147518158,1570,25.09577178955078,0.3,55.57313014984131,0.0018507855,311.1170212765957,0.0003,-0.0019713443296408427,311.1170212765957,0.9721282422542572,0.0,,
626,47,119,29750,-0.5612176752090454,1580,28.375585556030273,0.3,47.35383491516113,5.870843e-05,311.4315789473684,0.0003,0.0002786958711687504,311.4315789473684,0.9260724484920502,0.0,,
,,,30000,-0.5910869991779327,1590,20.51970100402832,0.3,32.4858610534668,1.40086395e-05,,0.0003,0.00016660984998633665,,0.9786220639944077,0.0,236.2,236.2
624,48,120,30000,,,,,,,309.2474226804124,,,309.2474226804124,,,,
625,48,121,30250,-0.5886294412612915,1600,26.390689849853516,0.3,49.19314750671387,0.0016108133,309.2474226804124,0.0003,-0.002423181686899625,309.2474226804124,0.9776069633662701,0.0,,
625,48,122,30500,-0.5622056198120117,1610,31.644182205200195,0.3,55.90935562133789,0.0022124888,310.9591836734694,0.0003,-0.005579334678739513,310.9591836734694,0.5039754509925842,0.0,,
625,49,123,30750,-0.5932595205307006,1620,48.96145248413086,0.3,79.93973930358887,0.00097039936,310.9591836734694,0.0003,-0.0017290186795057138,310.9591836734694,0.9479381218552589,0.0,,
626,49,124,31000,-0.581120240688324,1630,29.172767639160156,0.3,52.80709510803223,0.0009111791,311.93939393939394,0.0003,-0.001596303479913388,311.93939393939394,0.8712865561246872,0.0,,
627,49,125,31250,-0.5640900433063507,1640,315.4899597167969,0.3,417.59472457885744,0.00025154446,311.93939393939394,0.0003,-0.00132997516615724,311.93939393939394,0.10521048307418823,0.0,,
625,50,126,31500,-0.5761784625053405,1650,32.34346008300781,0.3,57.613035659790036,0.00034628034,309.63,0.0003,-0.0006839655742396644,309.63,0.2201855182647705,0.0,,
